Id,SalePrice
1461,118722.59381367418
1462,109924.06782346894
1463,173639.44980328926
1464,200255.9252999192
1465,198894.52889536612
1466,182939.07158807095
1467,207377.36446068593
1468,172632.71800561855
1469,207547.28135799099
1470,115640.39817517623
1471,206683.23391398514
1472,116293.29188704572
1473,92223.92168263404
1474,154834.9148736135
1475,115429.16736794927
1476,319362.04505102214
1477,252742.7631592517
1478,297561.81937014795
1479,276886.23698257323
1480,408938.67083908146
1481,297323.2686268428
1482,216287.45871246554
1483,173599.6394483936
1484,173883.5914107454
1485,200782.55792858405
1486,210159.65811105672
1487,295850.1245128749
1488,265804.73260921676
1489,183681.43831726012
1490,230796.9978099416
1491,212853.16438784852
1492,89776.01028972294
1493,224831.8428571766
1494,302701.7805380413
1495,285845.21806742734
1496,224077.89415273134
1497,170161.31017842458
1498,158805.23506816488
1499,166122.76691508084
1500,155501.16234484396
1501,206537.01006888883
1502,151259.33938256418
1503,289731.0236689187
1504,250599.81227192067
1505,225288.473106221
1506,215582.28300901846
1507,250993.6614391845
1508,221303.93671807222
1509,157015.21907968307
1510,147571.0626686907
1511,147032.71887284622
1512,192288.53498105076
1513,179381.8385926705
1514,221592.3140948158
1515,222841.43548536644
1516,176050.0253664828
1517,167339.75178948615
1518,114174.93194734701
1519,247569.43527257018
1520,134014.00166103116
1521,118157.56714528438
1522,206337.79419176438
1523,79164.84604771482
1524,112581.40297638741
1525,95672.96096057026
1526,81975.86035217438
1527,92806.34423500893
1528,154148.69563398825
1529,131805.84876398044
1530,239067.92990659684
1531,151108.5415351052
1532,190042.45034973824
1533,156582.40027610247
1534,130331.06659473898
1535,152601.9506548019
1536,105555.58281540079
1537,31979.80007095216
1538,190211.89017457142
1539,235532.87075887987
1540,170588.49498451315
1541,159310.2659986196
1542,139256.10332044633
1543,204647.2566662421
1544,75335.23216205672
1545,136258.11653486989
1546,144546.76361303742
1547,145103.8361318612
1548,140714.78750045435
1549,127266.63889961864
1550,133539.89493535995
1551,135880.5810604113
1552,135824.31015882618
